num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"(0:7499999.9999715,((1:5382978.7233838,3:5382978.7233838):1031914.8936131,2:6414893.6169969):1085106.3829746002):0;",0.0,5382978.7233838,5382978.7233838,1.0,1031914.8936131,6414893.6169969,1.0,7499999.9999715,1085106.3829746002
"(((0:5999999.9999772,2:5999999.9999772):869680.8510605249,3:6869680.851037725):195062.33893542897,1:7064743.190398687):0;",0.0,5999999.9999772,5999999.9999772,0.0,869680.8510605249,6869680.851037725,3.0,195062.33893542897,7064743.190398687
"(3:6256380.570188992,(1:5702127.6595528005,(2:4510638.2978552,0:4510638.2978552):1191489.3616976):554252.9104234257):0;",0.0,4510638.2978552,4510638.2978552,0.0,1191489.3616976,5702127.6595528005,4.0,554252.9104234257,6256380.570188992
"(((0:3617021.276582,2:3617021.276582):1414893.6170159,1:5031914.8935979):773108.4879757856,3:5805023.381892835):0;",0.0,3617021.276582,3617021.276582,0.0,1414893.6170159,5031914.8935979,4.0,773108.4879757856,5805023.381892835
"((0:6411347.518060744,2:6411347.518060744):1614184.3968023767,(1:6457446.8084861,3:6457446.8084861):1568085.10637702):0;",0.0,6457446.8084861,6457446.8084861,0.0,6411347.518060744,6411347.518060744,1.0,1614184.3968023767,1568085.10637702
"(((0:4382978.723387601,3:4382978.723387601):1234042.5531868,1:5617021.2765744):1489361.702122,2:7106382.9786964):0;",0.0,4382978.723387601,4382978.723387601,2.0,1234042.5531868,5617021.2765744,0.0,1489361.702122,7106382.9786964
"(0:5494419.3595535895,((1:3872340.4255172,3:3872340.4255172):1425531.9148882001,2:5297872.3404054):196547.01946733825):0;",0.0,3872340.4255172,3872340.4255172,1.0,1425531.9148882001,5297872.3404054,1.0,5494419.3595535895,196547.01946733825
"((1:2464539.0074374434,(2:1882978.7233971,3:1882978.7233971):581560.2837211944):637607.8294656621,0:3102146.8361584246):0;",0.0,1882978.7233971,1882978.7233971,1.0,2464539.0074374434,581560.2837211944,2.0,3102146.8361584246,637607.8294656621
"(((0:3308510.6382852998,3:3308510.6382852998):18166.02239354799,1:3326676.6606256566):3164451.9021156346,2:6491128.562741291):0;",0.0,3308510.6382852998,3308510.6382852998,2.0,18166.02239354799,3326676.6606256566,0.0,3164451.9021156346,6491128.562741291
"((0:4875569.876577217,(1:4670212.7659396995,3:4670212.7659396995):205357.11085028347):281116.9763819105,2:5156686.853171893):0;",0.0,4670212.7659396995,4670212.7659396995,2.0,4875569.876577217,205357.11085028347,1.0,281116.9763819105,5156686.853171893
