SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology
5372340.4255115,5390070.922319944,5372340.4255115,5390070.922319944,0.0,604255.31914664,0.0,0.0,586524.8226573457,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))"
1797872.3404187001,1797872.3404187001,2138297.8723323,2138297.8723323,2017021.27658808,0.0,0.0,0.0,0.0,1676595.74467448,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
5015809.329768174,4999999.999981,4999999.999981,5024777.825512821,0.0,0.0,15809.330244620776,0.0,0.0,0.0,8968.494909540388,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
3998703.719133741,3914893.6170064,3914893.6170064,4141775.4233885165,0.0,0.0,83810.10208478791,0.0,0.0,0.0,143071.70382924358,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
3892739.495729889,3202127.6595623,3202127.6595623,4652412.517003597,0.0,0.0,690611.8365931205,0.0,0.0,0.0,759673.0203162621,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
4819148.9361519,4819148.9361519,5241134.752107743,5241134.752107743,2348936.17020384,0.0,0.0,0.0,0.0,1926950.3542479968,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
7610638.29784342,5537234.042532151,4897163.120194157,4897163.120194157,0.0,0.0,0.0,0.0,0.0,640070.9220188444,0.0,0.0,0.0,2073404.25531127,"(((NLE,HMO),HLE),SSY)"
3914893.6170064,3914893.6170064,4373738.411685507,4366796.238281278,458844.79467910744,0.0,0.0,0.0,0.0,0.0,-6942.173204228939,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
4148936.170197,6574468.085081399,6574468.085081399,4148936.170197,0.0,0.0,4919.139628704712,2430451.0542460834,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
5180851.0638101,3531914.8936036,5010638.297853299,3531914.8936036,0.0,0.0,0.0,0.0,1478723.4042497,0.0,0.0,0.0,0.0,170212.76595680002,"(((HLE,HMO),NLE),SSY)"
