SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology,simulated
3957446.8084956,3957446.8084956,2691489.3616919,2691489.3616919,230694.82606295300,0.0,0.0,0.0,0.0,1496652.2723347400,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
3914893.6170064,4459932.25955752,3914893.6170064,7912129.569118870,0.0,545038.6429766520,0.0,0.0,0.0,0.0,3452197.30849752,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
4361702.127643,6191489.361678600,6191489.361678600,4361702.127643,0.0,0.0,233572.902126772,2063360.136162370,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
4287234.042536900,4287234.042536900,4996453.901044840,4996453.901044840,2497872.34041604,0.0,0.0,0.0,0.0,1788652.481908100,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
4255319.1489200000,5812446.138275790,5053191.4893425000,4255319.1489200000,0.0,0.0,0.0,797872.3404225,0.0,0.0,0.0,0.0,759254.6493588170,0.0,"(((SSY,HMO),NLE),HLE)",0
4744680.8510458,4744680.8510458,8340783.136138520,4824915.090407200,80234.23897841850,0.0,0.0,0.0,0.0,0.0,0.0,3515868.0457313200,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
1882978.7233971,2458019.917011940,1882978.7233971,2729153.236159840,0.0,575041.1939339850,0.0,0.0,0.0,0.0,271133.318509608,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
4069148.9361547500,5248936.17019282,3198581.560626140,3198581.560626140,0.0,0.0,0.0,0.0,0.0,870567.3758477560,0.0,0.0,1179787.23403807,0.0,"(((NLE,HMO),SSY),HLE)",0
1765957.4468018,1765957.4468018,3397872.34041262,2515957.44679895,749999.99999715,0.0,0.0,0.0,0.0,0.0,0.0,881914.89361367,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
2127659.5744600000,2127659.5744600000,2298450.8457359500,4904602.422321790,170791.27138233000,0.0,0.0,0.0,0.0,0.0,2606151.576585840,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
1819148.9361633,3413539.907433840,3975512.776580640,1819148.9361633,0.0,0.0,0.0,1594390.971270540,0.0,0.0,0.0,561972.8695723330,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
6810361.095718800,4446808.5106214,4446808.5106214,6393617.0212523,0.0,0.0,1946808.5106309,0.0,0.0,0.0,0.0,0.0,0.0,416744.0747856500,"(((HLE,NLE),HMO),SSY)",0
3316046.614881020,3202127.6595623,3202127.6595623,3246047.7914770300,0.0,0.0,43920.13194664160,0.0,0.0,0.0,0.0,0.0,0.0,69998.8230210106,"(((HLE,NLE),HMO),SSY)",0
6466288.537209470,3066903.224456430,2877525.6914784300,2877525.6914784300,0.0,0.0,0.0,0.0,0.0,189377.53319077000,0.0,0.0,0.0,3399385.31275304,"(((NLE,HMO),HLE),SSY)",0
5563829.787212900,3074468.0850947,4691489.3616843,3074468.0850947,0.0,0.0,0.0,0.0,1617021.2765896,0.0,0.0,0.0,0.0,872340.4255286,"(((HLE,HMO),NLE),SSY)",0
1595744.680845,3068172.8329670600,4329006.35104738,1595744.680845,0.0,0.0,0.0,1472428.1521220600,0.0,0.0,0.0,1260833.518080320,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
3968085.1063679,6878269.475505780,4720177.270194830,3968085.1063679,0.0,0.0,0.0,752092.1635077800,0.0,0.0,0.0,0.0,2158092.205310950,0.0,"(((SSY,HMO),NLE),HLE)",0
4978723.4042364000,5531958.543596,4978723.4042364000,9257472.997837160,0.0,553235.1390404510,0.0,0.0,0.0,0.0,3725514.455304990,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
2393617.0212675,2393617.0212675,3522226.0978589600,2996251.081903510,602634.0604232420,0.0,0.0,0.0,0.0,0.0,0.0,525975.0156362990,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
4436170.2127491,6510638.2978476,3425531.9148806000,3425531.9148806000,0.0,0.0,0.0,0.0,0.0,1010638.2978685,0.0,0.0,2074468.0850985,0.0,"(((NLE,HMO),SSY),HLE)",0
5053191.4893425000,5053191.4893425000,7745678.576566310,5546459.922319350,493268.43318961500,0.0,0.0,0.0,0.0,0.0,0.0,2199218.654246960,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
1244680.8510591,1244680.8510591,4123404.25530348,3962765.95743175,2718085.1063726500,0.0,0.0,0.0,0.0,0.0,0.0,160638.29787173000,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
4241134.752111540,6482978.723379620,5090425.53189555,4241134.752111540,0.0,0.0,0.0,849290.7801031560,0.0,0.0,0.0,0.0,1392553.1914840700,0.0,"(((SSY,HMO),NLE),HLE)",0
4808510.6382796,5600178.552106380,4808510.6382796,5515957.44678755,0.0,707446.80850795,0.0,0.0,0.0,0.0,0.0,0.0,84221.10548904170,0.0,"(((SSY,NLE),HMO),HLE)",0
4081917.010622790,3851063.8297726,3851063.8297726,3947252.6553041500,0.0,0.0,96188.82532942170,0.0,0.0,0.0,0.0,0.0,0.0,134664.3554250200,"(((HLE,NLE),HMO),SSY)",0
4797872.3404073,5359042.553171130,6985106.38295218,4797872.3404073,0.0,0.0,0.0,561170.212763825,0.0,0.0,0.0,1626063.829781060,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
4382978.723387600,4382978.723387600,7553191.489333000,5872340.4255096,1489361.702122,0.0,0.0,0.0,0.0,0.0,0.0,1680851.0638234,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
4315602.837217640,5217021.27657592,5090425.53189555,4315602.837217640,0.0,0.0,0.0,774822.6949970560,0.0,0.0,0.0,0.0,126595.74468037,0.0,"(((SSY,HMO),NLE),HLE)",0
4663120.5670035600,3148936.1702008,3148936.1702008,4663120.5670035600,0.0,0.0,1992241.7212690300,478057.32425350300,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
3723404.255305,3265957.4467961000,4325696.131898460,3265957.4467961000,0.0,0.0,0.0,0.0,457446.8085089,0.0,0.0,602291.8766998390,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
3734042.553177300,3734042.553177300,5191489.3616824,5191489.3616824,1797872.3404187,0.0,0.0,0.0,0.0,340425.53191360000,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
3042553.1914778000,3042553.1914778000,5223404.2552993,5625595.554233940,2180851.0638215,0.0,0.0,0.0,0.0,0.0,402191.29850911000,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
893617.0212732,1656028.3691426400,893617.0212732,2147308.8946726900,0.0,762411.3475502940,0.0,0.0,0.0,0.0,491280.52616834600,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
6379432.624443840,6989361.7021011,6989361.7021011,6379432.624443840,0.0,0.0,206382.97872262,816312.0566990260,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
4783687.943598840,5547059.346787430,6209120.708487040,4783687.943598840,0.0,0.0,0.0,763371.4030822060,0.0,0.0,0.0,662061.3625506760,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
4364361.702111080,3393617.0212637,4470212.76594046,3393617.0212637,0.0,0.0,0.0,0.0,970744.6808473750,0.0,0.0,105851.063829385,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
3861702.1276449,4937043.8350876200,4911711.52764091,3861702.1276449,0.0,0.0,0.0,1050009.3994641000,0.0,0.0,0.0,0.0,25332.30828713780,0.0,"(((SSY,HMO),NLE),HLE)",0
4699980.684024690,4021276.5957294,5290318.553171390,4021276.5957294,0.0,0.0,0.0,0.0,678704.0879761440,0.0,0.0,590337.8691466930,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
